-------------------------------
T_j^H 	 T_j^L 	 CC_i'
10 	 45 	 689
11 	 45 	 709
12 	 45 	 729
13 	 45 	 745
14 	 45 	 760
15 	 45 	 770
16 	 45 	 780
17 	 45 	 789
18 	 45 	 799
19 	 45 	 805
20 	 45 	 814
21 	 45 	 820
22 	 45 	 824
23 	 45 	 830
24 	 45 	 834
25 	 45 	 840
26 	 45 	 840
27 	 45 	 844
28 	 45 	 850
29 	 45 	 850
30 	 45 	 854
31 	 45 	 854
32 	 45 	 860
33 	 45 	 860
34 	 45 	 864
35 	 45 	 864
36 	 45 	 870
37 	 45 	 870
38 	 45 	 870
39 	 45 	 874
40 	 45 	 874
41 	 45 	 874
42 	 45 	 879
43 	 45 	 879
10 	 46 	 695
11 	 46 	 715
12 	 46 	 735
13 	 46 	 749
14 	 46 	 764
15 	 46 	 774
16 	 46 	 785
17 	 46 	 795
18 	 46 	 805
19 	 46 	 809
20 	 46 	 820
21 	 46 	 824
22 	 46 	 830
23 	 46 	 834
24 	 46 	 840
25 	 46 	 844
26 	 46 	 844
27 	 46 	 850
28 	 46 	 854
29 	 46 	 854
30 	 46 	 860
31 	 46 	 860
32 	 46 	 864
33 	 46 	 864
34 	 46 	 870
35 	 46 	 870
36 	 46 	 874
37 	 46 	 874
38 	 46 	 874
39 	 46 	 879
40 	 46 	 879
41 	 46 	 879
42 	 46 	 885
43 	 46 	 885
44 	 46 	 885
10 	 47 	 695
11 	 47 	 715
12 	 47 	 735
13 	 47 	 749
14 	 47 	 764
15 	 47 	 774
16 	 47 	 785
17 	 47 	 795
18 	 47 	 805
19 	 47 	 809
20 	 47 	 820
21 	 47 	 824
22 	 47 	 830
23 	 47 	 834
24 	 47 	 840
25 	 47 	 844
26 	 47 	 844
27 	 47 	 850
28 	 47 	 854
29 	 47 	 854
30 	 47 	 860
31 	 47 	 860
32 	 47 	 864
33 	 47 	 864
34 	 47 	 870
35 	 47 	 870
36 	 47 	 874
37 	 47 	 874
38 	 47 	 874
39 	 47 	 879
40 	 47 	 879
41 	 47 	 879
42 	 47 	 885
43 	 47 	 885
44 	 47 	 885
45 	 47 	 885
10 	 48 	 695
11 	 48 	 715
12 	 48 	 735
13 	 48 	 749
14 	 48 	 764
15 	 48 	 774
16 	 48 	 785
17 	 48 	 795
18 	 48 	 805
19 	 48 	 809
20 	 48 	 820
21 	 48 	 824
22 	 48 	 830
23 	 48 	 834
24 	 48 	 840
25 	 48 	 844
26 	 48 	 844
27 	 48 	 850
28 	 48 	 854
29 	 48 	 854
30 	 48 	 860
31 	 48 	 860
32 	 48 	 864
33 	 48 	 864
34 	 48 	 870
35 	 48 	 870
36 	 48 	 874
37 	 48 	 874
38 	 48 	 874
39 	 48 	 879
40 	 48 	 879
41 	 48 	 879
42 	 48 	 885
43 	 48 	 885
44 	 48 	 885
45 	 48 	 885
46 	 48 	 889
10 	 49 	 695
11 	 49 	 715
12 	 49 	 735
13 	 49 	 749
14 	 49 	 764
15 	 49 	 774
16 	 49 	 785
17 	 49 	 795
18 	 49 	 805
19 	 49 	 809
20 	 49 	 820
21 	 49 	 824
